i,i+1,diff
0,1,162080
1,2,20789357
2,3,161034
3,4,160185
4,5,160510
5,6,159157
6,7,161082
7,8,161331
8,9,159732
9,10,159801
10,11,160393
11,12,160124
12,13,159695
13,14,159670
14,15,157724
15,16,159192
16,17,162027
17,18,160319
18,19,158720
19,20,159223
20,21,159270
21,22,192290
22,23,158959
23,24,159549
24,25,159241
25,26,160409
26,27,163334
27,28,159532
28,29,159952
29,30,160467
30,31,161468
31,32,161011
32,33,160524
33,34,159637
34,35,159884
35,36,160836
36,37,159977
37,38,160872
38,39,159850
39,40,161432
40,41,161776
41,42,191633
42,43,160726
43,44,159718
44,45,159454
45,46,158961
46,47,160522
47,48,158374
48,49,159538
49,50,159258
50,51,158550
51,52,159043
52,53,161045
53,54,163116
54,55,168140
55,56,159917
56,57,160150
57,58,159488
58,59,158243
59,60,159135
60,61,166155
61,62,187571
62,63,162465
63,64,162406
64,65,160614
65,66,158924
66,67,165851
67,68,163138
68,69,163238
69,70,164306
70,71,200587
71,72,187196
72,73,220147
73,74,181823
74,75,188427
75,76,166585
76,77,161120
77,78,159940
78,79,160479
79,80,159695
80,81,168329
81,82,183215
82,83,160874
83,84,158049
84,85,158694
85,86,161119
86,87,163677
87,88,157171
88,89,156931
89,90,158906
90,91,160229
91,92,159323
92,93,159232
93,94,160473
94,95,161931
95,96,159235
96,97,161126
97,98,159155
98,99,158216
99,100,159828
100,101,161235
101,102,191809
102,103,161113
103,104,158115
104,105,160284
105,106,159849
106,107,162734
107,108,160676
108,109,160401
109,110,159405
110,111,160225
111,112,161344
112,113,157908
113,114,157940
114,115,160346
115,116,159923
116,117,162635
117,118,158805
118,119,158583
119,120,158547
120,121,160571
121,122,197943
122,123,160340
123,124,160415
124,125,160533
125,126,159315
126,127,159945
127,128,158120
128,129,158477
129,130,158096
130,131,159312
131,132,159294
132,133,160224
133,134,160732
134,135,160041
135,136,158253
136,137,159568
137,138,160120
138,139,160134
139,140,158865
140,141,158603
141,142,192635
142,143,160856
143,144,158622
144,145,159120
145,146,159472
146,147,161461
147,148,158178
148,149,158536
149,150,160068
150,151,161360
151,152,160900
152,153,160521
153,154,160785
154,155,161281
155,156,160399
156,157,161307
157,158,159641
158,159,159808
159,160,159571
160,161,159095
161,162,195726
162,163,161657
163,164,162838
164,165,160735
165,166,159691
166,167,162548
167,168,159647
168,169,159304
169,170,159262
170,171,159564
171,172,157942
172,173,159067
173,174,159443
174,175,158789
175,176,158364
176,177,157402
177,178,157347
178,179,157656
179,180,156643
180,181,160518
181,182,191829
182,183,158717
183,184,158708
184,185,158880
185,186,159550
186,187,161209
187,188,160644
188,189,160140
189,190,160384
190,191,161050
191,192,159696
192,193,159948
193,194,158750
194,195,159495
195,196,159275
196,197,159406
197,198,158696
198,199,158845
199,200,158761
200,201,158521
201,202,190740
202,203,160830
203,204,159548
204,205,159319
205,206,158807
206,207,160825
207,208,158994
208,209,160637
209,210,158016
210,211,159894
211,212,160221
212,213,159940
213,214,159091
214,215,160872
215,216,158926
216,217,161465
217,218,159052
218,219,160055
219,220,159214
220,221,164915
221,222,188017
222,223,160199
223,224,160389
224,225,158301
225,226,158267
226,227,159852
227,228,157702
228,229,158704
229,230,156684
230,231,159183
231,232,162644
232,233,160940
233,234,159214
234,235,158140
235,236,157049
236,237,160674
237,238,158664
238,239,159454
239,240,158610
240,241,158625
241,242,193094
242,243,161056
243,244,158341
244,245,158460
245,246,158533
246,247,158075
247,248,157621
248,249,160322
249,250,158667
250,251,160965
251,252,159474
252,253,158926
253,254,158958
254,255,159336
255,256,158894
256,257,160413
257,258,157676
258,259,157765
259,260,158000
260,261,161487
261,262,192806
262,263,159067
263,264,158276
264,265,158864
265,266,159109
266,267,160882
267,268,159202
268,269,158904
269,270,158460
270,271,160071
271,272,159412
272,273,159767
273,274,159523
274,275,159074
275,276,159534
276,277,161371
277,278,157295
278,279,158993
279,280,159880
280,281,159854
281,282,194916
282,283,159630
283,284,159343
284,285,158979
285,286,159486
286,287,159003
287,288,157878
288,289,158085
289,290,156753
290,291,157863
291,292,159572
292,293,159536
293,294,159085
294,295,158079
295,296,157456
296,297,161081
297,298,159550
298,299,159241
299,300,157161
300,301,161187
301,302,192437
302,303,159443
303,304,158802
304,305,159270
305,306,159276
306,307,160580
307,308,158151
308,309,159140
309,310,158923
310,311,160113
311,312,159693
312,313,158747
313,314,158374
314,315,159447
315,316,159444
316,317,160502
317,318,157806
318,319,158323
319,320,157687
320,321,158448
321,322,194543
322,323,161616
323,324,158778
324,325,159465
325,326,159545
326,327,162536
327,328,159914
328,329,160157
329,330,159015
330,331,159249
331,332,158049
332,333,158291
333,334,158018
334,335,157404
335,336,159281
336,337,161652
337,338,158390
338,339,158924
339,340,158625
340,341,158947
341,342,192637
342,343,159390
343,344,158892
344,345,158571
345,346,157796
346,347,159255
347,348,157425
348,349,158308
349,350,160367
350,351,158332
351,352,160372
352,353,158802
353,354,158521
354,355,158357
355,356,159745
356,357,161394
357,358,158634
358,359,159247
359,360,159964
360,361,161721
361,362,193894
362,363,160192
363,364,157602
364,365,157727
365,366,157539
366,367,160437
367,368,159203
368,369,158630
369,370,159133
370,371,159835
371,372,159166
372,373,159172
373,374,159976
374,375,160530
375,376,159147
376,377,159924
377,378,159567
378,379,159466
379,380,157705
380,381,157092
381,382,191750
382,383,162658
383,384,158160
384,385,158665
385,386,157865
386,387,159949
387,388,158742
388,389,158855
389,390,157842
390,391,159899
391,392,159637
392,393,158657
393,394,158426
394,395,159107
395,396,158190
396,397,161218
397,398,157596
398,399,158819
399,400,157636
400,401,158092
401,402,195001
402,403,163356
403,404,161616
404,405,159288
405,406,157606
406,407,160444
407,408,156827
408,409,157963
409,410,158946
410,411,159758
411,412,158511
412,413,159163
413,414,157421
414,415,157555
415,416,157843
416,417,159626
417,418,158252
418,419,158528
419,420,158789
420,421,159200
421,422,192440
422,423,158643
423,424,156875
424,425,156952
425,426,157853
426,427,161256
427,428,159009
428,429,160210
429,430,158875
430,431,159815
431,432,159136
432,433,159213
433,434,159427
434,435,158863
435,436,157679
436,437,159106
437,438,158753
438,439,159026
439,440,158527
440,441,158119
441,442,192411
442,443,161801
443,444,158807
444,445,158591
445,446,160279
446,447,161216
447,448,159516
448,449,158983
449,450,159172
450,451,160606
451,452,159116
452,453,159290
453,454,159599
454,455,159001
455,456,158942
456,457,162292
457,458,158287
458,459,158019
459,460,157360
460,461,158532
461,462,193786
462,463,162182
463,464,161497
464,465,160212
465,466,158072
466,467,157290
467,468,157655
468,469,157493
469,470,158627
470,471,159103
471,472,160596
472,473,159271
473,474,157979
474,475,158088
475,476,159378
476,477,160224
477,478,159212
478,479,159268
479,480,158196
480,481,158952
481,482,196100
482,483,159066
483,484,158076
484,485,158848
485,486,160134
486,487,160300
487,488,156839
488,489,157763
489,490,158221
490,491,159801
491,492,158853
492,493,158360
493,494,158311
494,495,159205
495,496,158690
496,497,157981
497,498,158197
498,499,158729
499,500,157999
500,501,158343
501,502,190179
502,503,163320
503,504,158018
504,505,158001
505,506,159035
506,507,158308
507,508,157979
508,509,159082
509,510,159805
510,511,160001
511,512,158246
512,513,158369
513,514,158738
514,515,159516
515,516,158509
516,517,158587
517,518,159223
518,519,158935
519,520,157603
520,521,157543
521,522,193807
522,523,163921
523,524,203221
524,525,158160
525,526,158151
526,527,156306
527,528,157577
528,529,157904
529,530,158732
530,531,158066
531,532,158768
532,533,157833
533,534,157936
534,535,158098
535,536,157751
536,537,157920
537,538,158454
538,539,159012
539,540,159236
540,541,158765
541,542,158113
542,543,192388
543,544,161031
544,545,159087
545,546,158815
546,547,158909
547,548,157613
548,549,158396
549,550,158377
550,551,158972
551,552,158777
552,553,160087
553,554,160775
554,555,159411
555,556,158988
556,557,158680
557,558,158394
558,559,158193
559,560,159232
560,561,159158
561,562,158460
562,563,158946
563,564,196796
564,565,158659
565,566,158475
566,567,157582
567,568,158020
568,569,158402
569,570,161416
570,571,159050
571,572,158184
572,573,158129
573,574,158033
574,575,158633
575,576,159725
576,577,158646
577,578,159303
578,579,159837
579,580,159574
580,581,160437
581,582,160341
582,583,159467
583,584,193796
584,585,160056
585,586,158415
586,587,159460
587,588,158493
588,589,158222
589,590,160094
590,591,158444
591,592,157928
592,593,159496
593,594,158660
594,595,159636
595,596,159903
596,597,158011
597,598,158876
598,599,158085
599,600,158916
600,601,160808
601,602,157595
602,603,157609
603,604,194555
604,605,158245
605,606,158562
606,607,158855
607,608,158998
608,609,156328
609,610,157980
610,611,157756
611,612,158895
612,613,158886
613,614,157970
614,615,158413
615,616,159966
616,617,157193
617,618,158692
618,619,156950
619,620,158403
620,621,156746
621,622,157382
622,623,158951
623,624,194308
624,625,158789
625,626,159187
626,627,157847
627,628,158916
628,629,159225
629,630,159965
630,631,158393
631,632,158419
632,633,158709
633,634,158790
634,635,157918
635,636,157781
636,637,158073
637,638,158561
638,639,159501
639,640,158463
640,641,157427
641,642,160297
642,643,158076
643,644,191711
644,645,158741
645,646,162589
646,647,159179
647,648,157873
648,649,157436
649,650,160698
650,651,158275
651,652,157816
652,653,158754
653,654,158596
654,655,158787
655,656,160195
656,657,157491
657,658,156845
658,659,156588
659,660,157795
660,661,157586
661,662,158736
662,663,159139
663,664,195359
664,665,158548
665,666,159968
666,667,158681
667,668,157831
668,669,159763
669,670,159739
670,671,159168
671,672,157930
672,673,158241
673,674,158728
674,675,158660
675,676,158238
676,677,157944
677,678,159145
678,679,158095
679,680,158449
680,681,160659
681,682,161429
682,683,160227
683,684,192533
684,685,158512
685,686,159609
686,687,157815
687,688,158233
688,689,158075
689,690,160020
690,691,160663
691,692,158829
692,693,157902
693,694,157603
694,695,158522
695,696,159703
696,697,158644
697,698,158936
698,699,158878
699,700,157254
700,701,157940
701,702,160787
702,703,158651
703,704,191999
704,705,157782
705,706,162313
706,707,158046
707,708,158948
708,709,157207
709,710,158618
710,711,158111
711,712,157204
712,713,159007
713,714,158642
714,715,158475
715,716,158324
716,717,158801
717,718,158600
718,719,158660
719,720,159527
720,721,161167
721,722,159717
722,723,159408
723,724,193110
724,725,160544
725,726,159652
726,727,159059
727,728,158266
728,729,157439
729,730,159378
730,731,158792
731,732,158768
732,733,157138
733,734,158085
734,735,158107
735,736,158504
736,737,157570
737,738,158104
738,739,157599
739,740,158945
740,741,159524
741,742,158787
742,743,186241
743,744,161947
744,745,158575
745,746,159223
746,747,160488
747,748,159304
748,749,157778
749,750,158813
750,751,157328
751,752,158128
752,753,159089
753,754,160197
754,755,159578
755,756,158756
756,757,156953
757,758,156997
758,759,161005
759,760,159327
760,761,158822
761,762,158985
762,763,190392
763,764,162893
764,765,163551
765,766,159572
766,767,162032
767,768,159253
768,769,160767
769,770,159415
770,771,166901
771,772,172643
772,773,164450
773,774,160155
774,775,159839
775,776,165449
776,777,163393
777,778,157527
778,779,157171
779,780,158600
780,781,159491
781,782,158987
782,783,190077
783,784,159983
784,785,158543
785,786,157347
786,787,157795
787,788,157679
788,789,157587
789,790,158109
790,791,158829
791,792,157259
792,793,158798
793,794,159212
794,795,158449
795,796,159132
796,797,157724
797,798,158773
798,799,157844
799,800,156702
800,801,159002
801,802,158158
802,803,158326
803,804,193402
804,805,160029
805,806,161148
806,807,158532
807,808,159512
808,809,158034
809,810,158543
810,811,159145
811,812,159464
812,813,158968
813,814,159414
814,815,158959
815,816,158188
816,817,157542
817,818,157580
818,819,157952
819,820,157573
820,821,159360
821,822,158794
822,823,157971
823,824,191619
824,825,158475
825,826,161129
826,827,159445
827,828,159489
828,829,158543
829,830,159361
830,831,159208
831,832,158800
832,833,158772
833,834,161689
834,835,160521
835,836,159063
836,837,157103
837,838,157202
838,839,157783
839,840,158092
840,841,160926
841,842,159505
842,843,159758
843,844,192985
844,845,158865
845,846,158476
846,847,158713
847,848,158925
848,849,157854
849,850,157989
850,851,158946
851,852,157645
852,853,158811
853,854,159733
854,855,158866
855,856,158658
856,857,158320
857,858,157540
858,859,158247
859,860,159014
860,861,158461
861,862,158797
862,863,159223
863,864,193165
864,865,159241
865,866,160628
866,867,158129
867,868,157588
868,869,157878
869,870,160297
870,871,160174
871,872,159769
872,873,158968
873,874,158849
874,875,158793
875,876,159481
876,877,158477
877,878,157165
878,879,156049
879,880,157629
880,881,157245
881,882,158662
882,883,185997
883,884,162258
884,885,159272
885,886,160249
886,887,159023
887,888,158239
888,889,159068
889,890,163430
890,891,158061
891,892,157025
892,893,157933
893,894,158094
894,895,158670
895,896,159798
896,897,158603
897,898,157364
898,899,156519
899,900,158816
900,901,160364
901,902,158536
902,903,185069
903,904,162576
904,905,157246
905,906,158753
906,907,158988
907,908,157741
908,909,158509
909,910,157505
910,911,158226
911,912,158122
912,913,159022
913,914,157756
914,915,157274
915,916,159272
916,917,158890
917,918,159253
918,919,157743
919,920,157660
920,921,159543
921,922,158972
922,923,185573
923,924,162842
924,925,159025
925,926,159222
926,927,157422
927,928,156957
928,929,157412
929,930,159991
930,931,158541
931,932,157721
932,933,157855
933,934,157658
934,935,157480
935,936,158536
936,937,158091
937,938,157488
938,939,158142
939,940,156684
940,941,158645
941,942,158270
942,943,184710
943,944,161069
944,945,157784
945,946,158073
946,947,157575
947,948,157994
948,949,158919
949,950,157350
950,951,159603
951,952,157519
952,953,157729
953,954,156879
954,955,157537
955,956,159389
956,957,157205
957,958,157573
958,959,158136
959,960,158911
960,961,159524
961,962,157986
962,963,186792
963,964,160037
964,965,157763
965,966,158756
966,967,157711
967,968,157749
968,969,157369
969,970,157884
970,971,157574
971,972,158554
972,973,157648
973,974,156746
974,975,157626
975,976,159608
976,977,158824
977,978,158473
978,979,157011
979,980,158066
980,981,159244
981,982,158365
982,983,188540
983,984,158776
984,985,158213
985,986,159113
986,987,157830
987,988,157955
988,989,158480
989,990,159214
990,991,157624
991,992,158339
992,993,157550
993,994,158071
994,995,159232
995,996,158705
996,997,158809
997,998,159420
998,999,157154
999,1000,156630
1000,1001,158960
1001,1002,159085
1002,1003,181261
1003,1004,167938
1004,1005,158161
1005,1006,159338
1006,1007,157998
1007,1008,157350
1008,1009,156883
1009,1010,158735
1010,1011,157048
1011,1012,157320
1012,1013,157921
1013,1014,158408
1014,1015,159555
1015,1016,159662
1016,1017,158835
1017,1018,156785
1018,1019,157091
1019,1020,158511
1020,1021,159085
1021,1022,157897
1022,1023,183282
1023,1024,165147
1024,1025,158700
1025,1026,157633
1026,1027,157449
1027,1028,159058
1028,1029,158366
1029,1030,158925
1030,1031,158464
1031,1032,158318
1032,1033,158168
1033,1034,158790
1034,1035,157465
1035,1036,159028
1036,1037,158171
1037,1038,157347
1038,1039,157892
1039,1040,157338
1040,1041,160615
1041,1042,158984
1042,1043,186890
1043,1044,163447
1044,1045,158020
1045,1046,160083
1046,1047,158310
1047,1048,159211
1048,1049,159052
1049,1050,159744
1050,1051,157971
1051,1052,158178
1052,1053,159058
1053,1054,158297
1054,1055,158378
1055,1056,160336
1056,1057,158897
1057,1058,157577
1058,1059,158285
1059,1060,157775
1060,1061,158535
1061,1062,157867
1062,1063,194822
1063,1064,165420
1064,1065,158539
1065,1066,161696
1066,1067,158633
1067,1068,157499
1068,1069,157035
1069,1070,158229
1070,1071,157452
1071,1072,158435
1072,1073,158425
1073,1074,158605
1074,1075,159961
1075,1076,159034
1076,1077,157801
1077,1078,157722
1078,1079,157236
1079,1080,157143
1080,1081,159301
1081,1082,159114
1082,1083,188762
1083,1084,161469
1084,1085,158120
1085,1086,156851
1086,1087,157024
1087,1088,157915
1088,1089,158517
1089,1090,159954
1090,1091,158784
1091,1092,157621
1092,1093,158316
1093,1094,158076
1094,1095,158778
1095,1096,159562
1096,1097,157670
1097,1098,159395
1098,1099,157813
1099,1100,158031
1100,1101,161063
1101,1102,157976
1102,1103,190150
1103,1104,161064
1104,1105,158157
1105,1106,158877
1106,1107,157991
1107,1108,158112
1108,1109,158655
1109,1110,159123
1110,1111,159515
1111,1112,158443
1112,1113,158583
1113,1114,157798
1114,1115,158317
1115,1116,159251
1116,1117,158826
1117,1118,157617
1118,1119,157962
1119,1120,158070
1120,1121,160090
1121,1122,160742
1122,1123,188903
1123,1124,158739
1124,1125,161488
1125,1126,158828
1126,1127,157506
1127,1128,158833
1128,1129,158272
1129,1130,158877
1130,1131,157298
1131,1132,156666
1132,1133,158571
1133,1134,159748
1134,1135,159297
1135,1136,159139
1136,1137,157256
1137,1138,158151
1138,1139,158361
1139,1140,159426
1140,1141,160438
1141,1142,158901
1142,1143,191968
1143,1144,159750
1144,1145,157299
1145,1146,156745
1146,1147,158233
1147,1148,158446
1148,1149,159030
1149,1150,158580
1150,1151,160015
1151,1152,158665
1152,1153,159286
1153,1154,159828
1154,1155,158539
1155,1156,159508
1156,1157,159412
1157,1158,159515
1158,1159,158934
1159,1160,157718
1160,1161,161176
1161,1162,159407
1162,1163,182381
1163,1164,169401
1164,1165,160909
1165,1166,159666
1166,1167,158044
1167,1168,159719
1168,1169,159493
1169,1170,159105
1170,1171,158205
1171,1172,157604
1172,1173,157562
1173,1174,158194
1174,1175,157370
1175,1176,157792
1176,1177,157204
1177,1178,158289
1178,1179,157780
1179,1180,158050
1180,1181,159460
1181,1182,158650
1182,1183,184772
1183,1184,165450
1184,1185,159584
1185,1186,158795
1186,1187,158646
1187,1188,157772
1188,1189,157894
1189,1190,157475
